Year,Precipitation (Annual Mean mm)
1901,110.89
1902,97.35
1903,78.54
1904,110.08
1905,92.97
1906,97.03
1907,87.01
1908,103.09
1909,79.14
1910,76.09
1911,97.21
1912,93.02
1913,69.16
1914,86.29
1915,92.98
1916,91.58
1917,87.72
1918,95.3
1919,79.64
1920,70.31
1921,88.94
1922,75.05
1923,99.42
1924,74.69
1925,87.67
1926,58.07
1927,88.59
1928,101.29
1929,92.32
1930,80.52
1931,79.07
1932,82.57
1933,99.54
1934,100.42
1935,91.28
1936,88.7
1937,63.41
1938,83.7
1939,87.88
1940,80.81
1941,83.6
1942,82.46
1943,108.29
1944,65.0
1945,59.97
1946,82.31
1947,63.78
1948,81.28
1949,86.91
1950,94.3
1951,97.85
1952,95.75
1953,105.34
1954,93.0
1955,91.79
1956,88.17
1957,115.71
1958,92.26
1959,90.42
1960,87.43
1961,65.01
1962,98.73
1963,97.83
1964,87.3
1965,82.53
1966,82.35
1967,88.0
1968,79.39
1969,104.47
1970,63.67
1971,95.57
1972,100.83
1973,87.7
1974,84.1
1975,87.69
1976,121.55
1977,73.48
1978,71.2
1979,103.3
1980,95.09
1981,61.36
1982,101.35
1983,52.11
1984,81.8
1985,84.14
1986,103.7
1987,78.76
1988,79.91
1989,71.06
1990,93.59
1991,87.08
1992,90.67
1993,65.89
1994,85.65
1995,83.96
1996,98.75
1997,94.18
1998,71.24
1999,97.76
2000,60.93
2001,67.89
2002,71.56
2003,107.5
2004,97.33
2005,73.68
2006,93.32
2007,90.97
2008,84.3
2009,93.99
2010,96.13
2011,97.95
2012,86.72
2013,90.77
2014,77.68
2015,80.24
2016,69.18
2017,78.56
2018,95.4
2019,78.95
2020,60.92
2021,61.93
2022,57.32
2023,60.53
2024,59.8
